43.21,47.56,50.63
36.57,37.6,40.91
39.03,43.05,46.04
32.3,33.17,34.58
31.64,36.25,37.28
36.91,42.53,43.06
36.22,37.27,38.4
39.01,39.54,41.75
41.47,45.46,47.62
33.61,35.66,37.05
68.18,63.12,99.48
98.13,99.71,139.83
98.47,95.95,147.39
96.03,91.04,142.3
69.13,67.88,116.44
96.62,92.7,158.67
100.32,91.56,157.42
96.03,91.04,142.3
103.94,97.2,152.2
92.36,84.98,158.62
75.56,108.48,139.28
78.7,119.38,148.79
79.71,123.01,154.06
80.31,113.66,143.93
79.31,115.75,146.21
69.97,111.19,143.95
75.56,108.48,139.28
78.24,124.53,158.37
79.36,129.77,163.75
78.68,124.0,156.65
79.36,129.77,163.75
36.11,79.88,152.74
39.82,83.96,157.97
51.95,96.93,170.42
53.53,100.4,172.94
53.45,103.4,175.81
60.42,104.73,175.49
53.97,100.47,171.24
55.23,94.63,163.35
59.54,101.07,170.27
55.87,104.39,177.74
