43.21,47.56,50.63,0.0
36.57,37.6,40.91,0.0
39.03,43.05,46.04,0.0
32.3,33.17,34.58,0.0
31.64,36.25,37.28,0.0
36.91,42.53,43.06,0.0
36.22,37.27,38.4,0.0
39.01,39.54,41.75,0.0
41.47,45.46,47.62,0.0
33.61,35.66,37.05,0.0
52.77,62.46,104.9,1.0
56.08,66.15,108.29,1.0
56.97,67.44,109.03,1.0
51.25,62.26,101.58,1.0
43.46,44.68,87.27,1.0
53.41,74.96,116.17,1.0
39.16,38.93,80.55,0.0
55.81,75.92,116.45,1.0
75.56,108.48,139.28,2.0
78.7,119.38,148.79,2.0
79.71,123.01,154.06,2.0
80.31,113.66,143.93,2.0
79.31,115.75,146.21,2.0
69.97,111.19,143.95,2.0
75.56,108.48,139.28,2.0
78.24,124.53,158.37,2.0
79.36,129.77,163.75,2.0
78.68,124.0,156.65,2.0
36.11,79.88,152.74,3.0
39.82,83.96,157.97,3.0
51.95,96.93,170.42,3.0
53.53,100.4,172.94,3.0
53.45,103.4,175.81,3.0
60.42,104.73,175.49,3.0
53.97,100.47,171.24,3.0
55.23,94.63,163.35,3.0
59.54,101.07,170.27,3.0
55.87,104.39,177.74,3.0
